민방위대피시설명,민방위대피시설면적,대피가능인원수,카운트
잠실성당 지하강의실,874,1059,2173.0
잠실종합상가,1518,1840,3927.0
잠실우성4차아파트 전동 지하,7920,9600,10142.0
문정1동주민센터,165,200,2901.0
서울시농수산식품공사 지하주차장,2785,3375,9391.0
풍납2동주민센터 지하 전체,196,237,9356.0
국민연금관리공단,541,655,2793.0
미성아파트 전동 지하,3501,4243,4853.0
엠타워 지하주차장,528,640,1072.0
삼성생명 지하주차장,568,688,1663.0
송파2동주민센터 지하,211,255,3163.0
대림아파트 전동 지하,1030,1248,4839.0
보화2차아파트,920,1115,7505.0
MBC아카데미,990,1200,3382.0
삼전동주민센터,198,240,1199.0
오륜동주민센터 지하,231,280,2828.0
연암빌딩,184,223,2889.0
장지동 현대아파트,713,864,3388.0
마천1동주민센터 지하,254,307,3021.0
영빌딩,408,494,4889.0
유니팜코리아 지하주차장,862,1044,1628.0
해동빌딩,800,969,5949.0
아이코리아 지하주차장,2211,2680,9395.0
거여2동주민센터,400,484,3888.0
현대2차아파트 201동 지하주차장,1400,1696,2659.0
백암빌딩,512,620,3997.0
동아한가람아파트 지하주차장,3097,3753,9076.0
동아상가 지하,660,800,3563.0
기영아파트,653,791,825.0
웅산빌딩,640,775,4542.0
장지동주민센터 지하,330,400,4106.0
건영아파트 지하주차장,2158,2615,4200.0
마천금호아파트,455,551,7538.0
우성2차아파트 지하주차장,660,800,4246.0
8호선 장지역,5363,6500,11016.0
거여6단지아파트,2614,3168,4553.0
가락2차 쌍용아파트 지하주차장,1948,2361,5331.0
거여1동주민센터,264,320,2658.0
거여1동 현대3차아파트,1980,2400,2537.0
남양빌딩 지하주차장,1095,1327,4901.0
마천금호어울림1차아파트 지하주차장,4649,5635,7838.0
올림픽 선수 기자촌 아파트 지하주차장,264,320,6860.0
보인고등학교,547,663,4378.0
송파도서관,544,659,2336.0
서울곰두리체육센터,858,1040,11272.0
올림픽베어스타운,3520,4266,5181.0
영빌딩 지하주차장,696,843,1833.0
호수임광아파트 지하주차장,2343,2840,4578.0
황제빌딩 지하주차장,396,480,2518.0
동원빌딩 지하 서울구국기도원,1326,1607,4967.0
갤러리아팰리스아파트 지하주차장,3758,4555,5568.0
한솔아파트 지하주차장,1556,1886,8417.0
송파노인종합복지관 지하 대강당,1644,1992,3215.0
잠실교회 별관,3056,3704,5539.0
석촌씨티빌딩,2513,3046,4433.0
방이1동주민센터 지하1층,315,381,1620.0
삼전종합사회복지관 지하 강당,150,181,2295.0
배명고등학교 체육관 지하,1916,2322,4276.0
산림조합중앙회 지하 주차장,1958,2373,5470.0
신원빌딩 지하주차장,398,482,2018.0
송파파크데일1단지,3216,3898,4191.0
송파파크데일2단지,3520,4266,7870.0
위례송파푸르지오 지하주차장,2174,2635,3823.0
서울동부지방법원,1651,2001,9954.0
위례동주민센터 지하주차장,394,477,8066.0
석촌고분역,6841,8292,9085.0
