대피소명,카운트
리센츠아파트 지하주차장,20647
엘스아파트 지하주차장,15352
파크리오아파트,14856
서울아산병원 동관 지하주차장,14585
헬리오시티 지하주차장,13356
가든파이브 라이프관,11490
서울곰두리체육센터,11272
8호선 장지역,11016
잠실우성4차아파트 전동 지하,10142
서울동부지방법원,9954
8호선 몽촌토성역,9627
아이코리아 지하주차장,9395
서울시농수산식품공사 지하주차장,9391
풍납2동주민센터 지하 전체,9356
석촌고분역,9085
동아한가람아파트 지하주차장,9076
문정시영아파트 5동 지하,8419
한솔아파트 지하주차장,8417
위례동주민센터 지하주차장,8066
송파파크데일2단지,7870
마천금호어울림1차아파트 지하주차장,7838
위례24단지 지하주차장,7707
마천금호아파트,7538
보화2차아파트,7505
2호선 종합운동장역,7153
송파동부센트레빌 아파트 지하주차장,7094
현대아파트 중앙아케이드 상가,6959
올림픽 선수 기자촌 아파트 지하주차장,6860
가락쌍용1차아파트,6578
송파나루역,6477
문정프라자 지하주차장,6401
한양2차아파트 지하,6069
9호선 삼전역,6027
해동빌딩,5949
롯데월드 지하주차장,5873
갤러리아팰리스아파트 지하주차장,5568
잠실교회 별관,5539
산림조합중앙회 지하 주차장,5470
가락2차 쌍용아파트 지하주차장,5331
올림픽베어스타운,5181
동원빌딩 지하 서울구국기도원,4967
오금역,4932
남양빌딩 지하주차장,4901
영빌딩,4889
미성아파트 전동 지하,4853
대림아파트 전동 지하,4839
문정래미안아파트 지하주차장,4698
거여4단지아파트,4686
호수임광아파트 지하주차장,4578
거여6단지아파트,4553
웅산빌딩,4542
아시아선수촌아파트 동별 지하,4465
우성아파트 전동 지하,4454
2호선 잠실새내역,4448
석촌씨티빌딩,4433
보인고등학교,4378
월드타워,4328
배명고등학교 체육관 지하,4276
우성2차아파트 지하주차장,4246
건영아파트 지하주차장,4200
송파파크데일1단지,4191
장지동주민센터 지하,4106
백암빌딩,3997
8호선 송파역,3953
잠실종합상가,3927
우방아파트 지하주차장,3902
거여2동주민센터,3888
가락삼익아파트 전동 지하,3840
위례송파푸르지오 지하주차장,3823
잠실본동 현대아파트 지하,3752
거여1동현대1차아파트,3736
트리지움아파트 지하주차장,3731
5호선 방이역,3693
석촌역,3683
가락금호아파트 지하주차장,3668
동아상가 지하,3563
가락 ID 타워,3561
신구블레스 밸리아파트,3522
5호선 올림픽공원역,3474
경찰병원역,3425
장지동 현대아파트,3388
MBC아카데미,3382
송파노인종합복지관 지하 대강당,3215
수협중앙회,3187
송파2동주민센터 지하,3163
송파여성문화회관 지하주차장,3124
아남아파트,3113
마천1동주민센터 지하,3021
가락 스타클래스,3013
가락한신아파트,2991
문정1동주민센터,2901
연암빌딩,2889
오륜동주민센터 지하,2828
옥산크리스탈아파트,2802
국민연금관리공단,2793
현대2차아파트 201동 지하주차장,2659
거여1동주민센터,2658
송파2동 현대아파트,2647
"송파구의회,구민회관 지하주차장",2589
거여1동 현대3차아파트,2537
황제빌딩 지하주차장,2518
한성백제역,2402
현대그린빌아파트,2401
방이코오롱아파트,2394
2호선 잠실역,2358
송파도서관,2336
삼전종합사회복지관 지하 강당,2295
거여2단지아파트,2225
위례22단지 지하주차장,2216
문정현대2차아파트 지하주차장,2184
잠실성당 지하강의실,2173
씨티극동아파트 지하주차장,2045
신원빌딩 지하주차장,2018
마천역,2012
거여1단지아파트,1979
문정1차현대아파트 지하주차장,1977
거여5단지아파트,1975
8호선 문정역,1943
레이크팰리스아파트 지하주차장,1940
송파구청,1848
영빌딩 지하주차장,1833
문정동아아파트 지하주차장,1776
올림픽 프라자 상가 지하,1669
삼성생명 지하주차장,1663
서경빌딩,1636
유니팜코리아 지하주차장,1628
방이1동주민센터 지하1층,1620
문정근린공원 공영주차장,1612
거여역,1603
가락시장역,1525
두암빌딩,1418
문정푸르지오2차아파트 지하주차장,1368
대신빌딩,1254
삼전동주민센터,1199
어울림아파트,1159
위너스 빌딩1,1149
개롱역,1101
엠타워 지하주차장,1072
문정1차푸르지오아파트 지하주차장,1052
마천삼익아파트,1036
올림피아 빌딩 주차장,967
해태그린피아 빌라트,884
세계로교회,878
기영아파트,825
한보아파트,809
서일빌딩,805
성영아파트 지하주차장,776
시그마타워,718
잠실역 환승주차장,557
현대타워,553
송파1동주민센터 지하 다목적실,441
교통회관,376
위너스 빌딩2,368
태문빌딩,201
